NOCCourseId,NOCCourseName,NOCCourseAbstract,NOCCoordinatorNames,NOCInstitute,nocCoordinatingInstitute,NOCEnrolStartDt,NOCEnrolEndDt,NOCRegStartDt,NOCRegEndDt,NOCExamDt1,NOCExamDt2,NOCExamDt3,NOCEnrolUrl,NOCRegUrl,NOCStaticMockUrl,NOCPeriod,HourType,Category,NOCReallocationDBtable1,NOCReallocationDBtable2,NOCTestscoreDBtable,NOCCertificateDBtable,NOCNameAssignment1,NOCNameAssignment2,NOCNameAssignment3,NOCNameAssignment4,NOCNameAssignment5,NOCNameAssignment6,NOCNameAssignment7,NOCNameAssignment8,NOCNameAssignment9,NOCNameAssignment10,NOClegendlogic,NOCAssignmentLogicRemarks,NOCAssignmentGraph,NOCExamGraph,NOCFinalScoreGraph,NOCEnableCertificatestatus,NOCEnableDownloadCertificate,NOCEnableExamScores,NOCEnablePercentileScores,NOCEnableReallocationDt1,NOCEnableReallocationDt2,NOCEnableCandidateLogin,NOCEnableReallocationLogin,CourseStatus,Syllabus_link,disciplineid,scorder,NPTELCourseId,NOCCourseDuration,NOCCourseAvail,NOCExamRun,FdpStatus,sem,duration (self-populated),discipline_short (derived),discipline_name
noc22-ae14,Introduction to Aircraft Design,"This course is designed to provide students an understanding of procedure followed in conceptual design of an aircraft, meeting the user-specified design requirements and safety considerations specified by the aircraft certification agencies. The students will be exposed to types of aircraft and their features, requirements capture, configuration selection, initial sizing, determination of aerodynamic coefficients, constraint analysis, mass break down, types of loads, V-n diagram, Operational issues (noise, emissions, Range-Payload diagram), and life cycle cost analysis. A special feature of this course will be to take the students through a complete exercise in re-sizing and of a baseline civil transport aircraft to meet a specified market requirement. This exercise will be conducted through a series of tutorials which will run all along the course.",Prof. Rajkumar Pant,IIT Bombay,IIT Bombay,2022-05-20,2022-07-25,NULL,NULL,2022-10-29,2022-10-29,NULL,https://onlinecourses.nptel.ac.in/noc22_ae14/,NULL,NULL,Jul-Oct 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uplc,https://archive.nptel.ac.in/content/syllabus_pdf/101101083.pdf,101,NULL,101101083,NULL,NULL,41,1,SEM2,12,ae,Aerospace Engineering
noc22-ae15,Design of Fixed Wing Unmanned Aerial Vehicles,"This course introduces the initial designing and sizing process for rapidly growing fixed ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ wing UAV technology, integrated with its performance and stability analysis and prototype testing.",Prof. Saderla Subrahmanyam,IIT Kanpur,IIT Kanpur,2022-05-20,2022-07-01,NULL,NULL,2022-09-25,2022-09-25,NULL,https://onlinecourses.nptel.ac.in/noc22_ae15/,NULL,NULL,Jul-Sep 2022,20,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uptc,https://archive.nptel.ac.in/content/syllabus_pdf/101104073.pdf,101,NULL,101104073,NULL,NULL,40,1,SEM2,8 ,ae,Aerospace Engineering
noc22-ae16,UAV Design - Part II,"This course introduces the designing and sizing process (Simulation/Experimental) for fixed - wing UAV technology, integrated with its performance and stability analysis (Static & Dynamic) and prototype testing",Prof. Saderla Subrahmanyam,IIT Kanpur,IIT Kanpur,2022-05-20,2022-07-01,NULL,NULL,2022-09-25,2022-09-25,NULL,https://onlinecourses.nptel.ac.in/noc22_ae16/,NULL,NULL,Jul-Sep 2022,20,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uptc,https://archive.nptel.ac.in/content/syllabus_pdf/101104083.pdf,101,NULL,101104083,NULL,NULL,40,1,SEM2,8 ,ae,Aerospace Engineering
noc22-ae17,Engineering Thermodynamics,"<p>This course is designed for undergraduate engineering students, interested in learning the fundamental aspects of engineering thermodynamics. The main emphasis is placed on precise and logical presentation of the basic concepts and principles, which are essential for the better understanding of engineering thermodynamics. Since this is an introductory course, care has been taken to present the materials in a gradual manner to instill confidence in the minds of the students. Attempts have been made to keep the derivation of fundamental equations and principles at an uncomplicated mathematical level. Several examples are provided during lectures for the student to assimilate and reinforce the ideas developed in this subject. Adequate emphasis is given in this course for exposing the students to realistic problems that are likely to be encountered in general engineering practices. Because, the fundamentals of thermodynamics are used extensively while designing all most all engineering systems. The methodical rather than rigid problems solving techniques are enumerated in details to encourage the students to develop a feel for importance of thermodynamics.</p>",Prof. D. P. Mishra,IIT Kanpur,IIT Kanpur,2022-05-20,2022-07-25,NULL,NULL,2022-10-29,2022-10-29,NULL,https://onlinecourses.nptel.ac.in/noc22_ae17/,NULL,NULL,Jul-Oct 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uplc,https://archive.nptel.ac.in/content/syllabus_pdf/101104063.pdf,101,NULL,101104063,NULL,NULL,41,0,SEM2,12,ae,Aerospace Engineering
noc22-ae18,Aerodynamic Design of Axial Flow Compressors & Fans,"This course builds upon basics of Thermodynamics, Aircraft Propulsion and Gas Dynamics that students have learnt in previous pre-requisite courses and aims to give the students a fundamental understanding of how axial flow compressor and industrial fans work and how they are designed as per specific requirements for land based power plants, aircraft jet engines, special applications in process industries as well as future electric propulsion systems. The aerodynamics and fluid flow aspects of axial flow compressors and fans are covered with considerations of recent advancements in design processes.",Prof. Chetankumar Sureshbhai Mistry,IIT Kharagpur,IIT Kharagpur,2022-05-20,2022-07-25,NULL,NULL,2022-10-29,2022-10-29,NULL,https://onlinecourses.nptel.ac.in/noc22_ae18/,NULL,NULL,Jul-Oct 2022,30,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uplc,https://archive.nptel.ac.in/content/syllabus_pdf/101105089.pdf,101,NULL,101105089,NULL,NULL,41,1,SEM2,12,ae,Aerospace Engineering
noc22-ae19,Aircraft Structures - I,"This course is an introduction for the analysis of aircraft structures. It bridges together the basic solid mechanics with applications to aerospace structures. The course starts with the introduction to the basic details of type of structures used in aircraft construction. It is followed by an introduction to the estimation of loads on wing, fuselage and landing gear. Principle of stressed skin structure and indeterminate structures are covered next. Theory of elasticity will be introduced later for analysis of problems related to aerospace structures.",Prof. Anup Ghosh,IIT Kharagpur,IIT Kharagpur,2022-05-20,2022-07-01,NULL,NULL,2022-09-25,2022-09-25,NULL,https://onlinecourses.nptel.ac.in/noc22_ae19/,NULL,NULL,Jul-Sep 2022,20,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uptc,https://archive.nptel.ac.in/content/syllabus_pdf/101105084.pdf,101,NULL,101105084,NULL,NULL,40,1,SEM2,8 ,ae,Aerospace Engineering
noc22-ae20,Introduction to CFD,"This course is introductory in nature and expected to impart firsthand knowledge of CFD. It is mainly aimed for senior undergraduate students/ first year post graduate students in Aerospace, Mechanical, Applied Mechanics, Applied Mathematics and allied streams. It is concerned with application of numerical methods for solving conservation equations of fluid dynamics. The subject will be taught with the objective of motivating students to develop their own computer codes. With a long experience of teaching both introductory and advanced courses in CFD to UG, PG and PhD students, I strongly feel that this is the best way to learn CFD.",Prof. Arnab Roy,IIT Kharagpur,IIT Kharagpur,2022-05-20,2022-07-25,NULL,NULL,2022-10-30,2022-10-30,NULL,https://onlinecourses.nptel.ac.in/noc22_ae20/,NULL,NULL,Jul-Oct 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uplc,https://archive.nptel.ac.in/content/syllabus_pdf/101105085.pdf,101,NULL,101105085,NULL,NULL,42,1,SEM2,12,ae,Aerospace Engineering
noc22-ae21,Space Flight Mechanics,"This course is designed to introduce orbital mechanics of satellite. The course will begin with central force motion and then proceed to the two- body and three-body dynamics under mutual gravitation acceleration. It will also introduce the concept of Lagrange Points and their stability. Moreover, the concept of general orbit perturbation will also be discussed. Earth as a non-spherical body and its effect on gravity will be elaborated. Preliminary orbit determination of the satellite will be discussed. Finally, orbit transfer will be elaborated.",Prof. Manoranjan Sinha,IIT Kharagpur,IIT Kharagpur,2022-05-20,2022-07-25,NULL,NULL,2022-10-30,2022-10-30,NULL,https://onlinecourses.nptel.ac.in/noc22_ae21/,NULL,NULL,Jul-Oct 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uplc,https://archive.nptel.ac.in/content/syllabus_pdf/101105083.pdf,101,NULL,101105083,NULL,NULL,42,1,SEM2,12,ae,Aerospace Engineering
noc22-ag01,Soil And Water Conservation Engineering,"<p>The course deals with the engineering principles involved in soil and water conservation. It includes the classification of the water erosion, and the agronomical and engineering measures adopted for erosion control. The design of bunds and terraces are dealt in detail, followed by gully control measures. The wind erosion and measures to control it, e.g., the windbreaks and shelterbelt, are also included. Many examples and problems are included to emphasize the design principles and to facilitate an understanding of the subject matter. Computer models will be described where applicable.</p>",Prof. Rajendra Singh,IIT Kharagpur,IIT Kharagpur,2021-11-14,2022-01-31,2021-12-13,2022-03-18,2022-04-24,2022-04-24,NULL,https://onlinecourses.nptel.ac.in/noc22_ag01/preview,NULL,NULL,Jan-Apr 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/126105012.pdf,126,NULL,126105012,NULL,NULL,39,0,SEM1,12,ag,Agriculture
noc22-ag02,Soil Science and Technology,"This core course is aimed to provide a basic understanding of various aspects of soil science along with some state-of-the-art technologies. The objective is to provide knowledge of different physical and chemical properties of soil. Most importantly this course will impart different preparatory and exploratory data analysis approaches for unconventional digital soil mapping, modeling and mapping of continuous and categorical soil attributes, hyperspectral and proximal soil sensors and their applications for modeling of soil properties, soil pollution and remediation which are not covered in the traditional courses of soil science.",Prof. Somsubhra Chakraborty,IIT Kharagpur,IIT Kharagpur,2021-11-14,2022-01-31,2021-12-13,2022-03-18,2022-04-23,2022-04-23,NULL,https://onlinecourses.nptel.ac.in/noc22_ag02/preview,NULL,NULL,Jan-Apr 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/126105016.pdf,126,NULL,126105016,NULL,NULL,38,0,SEM1,12,ag,Agriculture
noc22-ag03,Novel Technologies for Food Processing and Shelf-Life Extension,"Food processing which includes both fresh and packaged food involves handling of foods, preparation and storage through the subsequent stages so that the pathogens and toxic components present in food are destroyed and deactivated making the food safer and hygienic. It is the capability of the food processing sector to develop novel food processing and preservation technologies to manufacture and preserve food in an effective manner with a view to enhance their shelf life, improve quality as well as make them functionally more useful.

There is a large growing demand for novel food products which not only provide health & nutrition benefits and convenience to the consumers but also offer immense economic promise to the food processing industry and the farmers. This course “Novel Technologies for Food Processing and Shelf Life Extension ” deals about the recent and emerging engineering and technological innovations for novel and convenience food products manufacturing and shelf life extension. This course will play a pivotal role in pursuing research & development and will enable idea generation for the commercial manufacture of such products which ultimately lead our country to an international platform.",Prof. Hari Niwas Mishra,IIT Kharagpur,IIT Kharagpur,2021-11-14,2022-01-31,2021-12-13,2022-03-18,2022-04-23,2022-04-23,NULL,https://onlinecourses.nptel.ac.in/noc22_ag03/preview,NULL,NULL,Jan-Apr 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/126105015.pdf,126,NULL,126105015,NULL,NULL,38,1,SEM1,12,ag,Agriculture
